id,title
HVT-0213,Adele W. Holocaust testimony
HVT-1650,Violet S. Holocaust testimony
HVT-0253,Salomon M. Holocaust testimony
HVT-0700,Claude L. Holocaust testimony
HVT-0969,Dori K. Holocaust testimony
HVT-1637,Nat G. Holocaust testimony
HVT-0046,Dori L. Holocaust testimony
HVT-0593,Dori L. Holocaust testimony
HVT-0059,Dori K. Holocaust testimony
HVT-0115,Frania R. Holocaust testimony
HVT-1537,Jacqueline R. Holocaust testimony
HVT-0974,Edith P. Holocaust testimony
HVT-0136,Hanna G. Holocaust testimony
HVT-0287,Sabina G. Holocaust testimony
HVT-0622,Zev H. Holocaust testimony
HVT-0657,Rose W. Holocaust testimony
HVT-1351,Arthur B. Holocaust testimony
HVT-0284,Alan Z. Holocaust testimony
HVT-1850,Clara L. Holocaust testimony
HVT-1880,Michael G. Holocaust testimony
HVT-1892,Meir V. Holocaust testimony
HVT-2609,Esther W. Holocaust testimony
HVT-2854,Aladar M. Holocaust testimony
HVT-3260,Nina S. Holocaust testimony
HVT-0876,Susan S. Holocaust testimony
HVT-2740,Amelia B. Holocaust testimony
HVT-2742,Julien E. Holocaust testimony
HVT-2761,Harry F. Holocaust testimony
HVT-0163,Pincus and Sylvia S. Holocaust testimony
HVT-0176,Marc S. Holocaust testimony
HVT-0571,Edith G. Holocaust testimony
HVT-0579,Abraham E. Holocaust testimony
HVT-0854,Sol F. Holocaust testimony
HVT-1881,Marian N. Holocaust testimony
HVT-1897,Morris R. Holocaust testimony
HVT-2188,Samuel and Wolf Z. Holocaust testimony
HVT-2254,Eva V. Holocaust testimony
HVT-2256,Rita L. Holocaust testimony
HVT-2762,Alfred F. Holocaust testimony
HVT-2809,Hubert W. Holocaust testimony
HVT-2830,Herbert L. Holocaust testimony
HVT-2853,Helen L. Holocaust testimony
HVT-3261,Solomon L. Holocaust testimony
HVT-0177,Hanna D. Holocaust testimony
HVT-2767,Lilly L. Holocaust testimony
HVT-2769,Marta E. Holocaust testimony
HVT-2770,Willi E. Holocaust testimony
HVT-2796,Sophie R. Holocaust testimony
HVT-2802,August D. Holocaust testimonies
HVT-2803,Friedrich R. Holocaust testimony
HVT-2805,Karl W. Holocaust testimony
HVT-2806,Reinhold R. Holocaust testimony
HVT-2807,Friedrich L. Holocaust testimony
HVT-2811,Paul W. Holocaust testimony
HVT-2813,Gerhard B. Holocaust testimony
HVT-2814,Konrad S. Holocaust testimony
HVT-2815,Brigitte W. Holocaust testimony
HVT-0305,Ella and Leon S. Holocaust testimony
HVT-1638,Rose M. Holocaust testimony
HVT-0179,Serena N. Holocaust testimony
HVT-0183,Rose A. Holocaust testimony
HVT-1064,Shlomo P. Holocaust testimony
HVT-0231,William P. Holocaust testimony
HVT-0881,Maria Gilda S. Holocaust testimony
HVT-1987,Sonia R. Holocaust testimony
HVT-0632,Gabriella Z. Holocaust testimony
HVT-1654,Rena B. Holocaust testimony
HVT-0861,Esther K. Holocaust testimony
HVT-0101,Ena L. Holocaust testimony
HVT-0354,Alfred S. Holocaust testimony
HVT-1798,Louis G. Holocaust testimony
HVT-0959,Frances B. Holocaust testimony
HVT-0960,Murray B. Holocaust testimony
HVT-0110,Ralph F. Holocaust testimony
HVT-0156,Lois and Abraham J. Holocaust testimony
HVT-0194,Benjamin M. Holocaust testimony
HVT-0157,Jack P. Holocaust testimony
HVT-0221,Sonia M. Holocaust testimony
HVT-0023,Shirley W. Holocaust testimony
HVT-0038,Libby and Sidney G. Holocaust testimony
HVT-0582,Sam F. Holocaust testimony
HVT-0833,Allen S. Holocaust testimony
HVT-0276,Annelies H. Holocaust testimony
HVT-1866,Annelies H. Holocaust testimony
HVT-1763,Ruth G. Holocaust testimony
HVT-0619,Ruth W. Holocaust testimony
HVT-0901,Jacob W. Holocaust testimony
HVT-0104,Gregor S. Holocaust testimony
HVT-1369,Perla Lina K. Holocaust testimony
HVT-0805,Lev A. Holocaust testimony
HVT-0015,Helene R. Holocaust testimony
HVT-0532,Frank S. Holocaust testimony
HVT-4465,George Z. Holocaust testimony
HVT-1272,Sibylle H. Holocaust testimony
HVT-0204,Ellen S. Holocaust testimony
HVT-2743,Magdolina S. Holocaust testimony
HVT-1109,Fanny L. Holocaust testimony
HVT-0040,Martha K. Holocaust testimony
HVT-1201,Lola S. Holocaust testimony
HVT-0030,Frank S. Holocaust testimony
HVT-0095,Elizabeth D. Holocaust testimony
HVT-0039,Harry T. Holocaust testimony
HVT-1277,Betsy H. Holocaust testimony
HVT-0810,Fanya H. Holocaust testimony
HVT-1108,Sara B. Holocaust testimony
HVT-1668,Edith A. Holocaust testimony
HVT-1670,Rose A. Holocaust testimony
HVT-0080,Henri B. Holocaust testimony
HVT-1156,Lore B. Holocaust testimony
HVT-2479,Carl H. Holocaust testimony
HVT-2643,Eric H. Holocaust testimony
HVT-2443,Adele J. Holocaust testimony
HVT-2481,Laure K. Holocaust testimony
HVT-2081,Charles R. Holocaust testimony
HVT-0849,Vera R. Holocaust testimony
HVT-2656,Vivette S. Holocaust testimony
HVT-1062,Shalom T. Holocaust testimony
HVT-2659,Felix W. Holocaust testimony
HVT-1789,Ruth N. Holocaust testimony
HVT-0956,Maximilian L. Holocaust testimony
HVT-3205,Oscar A. Holocaust testimony
HVT-3203,Moussa and Odette A. Holocaust testimony
HVT-0793,Marianne B. Holocaust testimony
HVT-0310,Clara M. Holocaust testimony
HVT-4012,David B. Holocaust testimony
HVT-2634,Monique B. Holocaust testimony
HVT-1208,Boris A. Holocaust testimony
HVT-0722,Bela E. Holocaust testimony
HVT-2603,Suzanne H. Holocaust testimony
HVT-1092,Ivar S. Holocaust testimony
HVT-0190,Shalom S. Holocaust testimony
HVT-0028,Alex F. Holocaust testimony
HVT-0297,Rabbi Armin F. Holocaust testimony
HVT-0291,Dorothy R. Holocaust testimony
HVT-0283,Halina Z. Holocaust testimony
HVT-0680,Ann R. Holocaust testimony
HVT-1086,Fany K. Holocaust testimony
HVT-0193,Lepa M. Holocaust testimony
HVT-2204,Debora K. Holocaust testimony
HVT-3557,Edo S. Holocaust testimony
HVT-1324,Josip E. Holocaust testimony
HVT-2217,Cadik-Braca D. Holocaust testimony
HVT-2208,Eva T. Holocaust testimony
HVT-2017,Isabelle G. Holocaust testimony
HVT-1446,Judah N. Holocaust testimony
HVT-2512,Eli W. Holocaust testimony
HVT-0943,Fred O. Holocaust testimony
HVT-2258,Ilse K. Holocaust testimony
HVT-0612,Rabbi Anshel W. Holocaust testimony
HVT-0292,Kathe K. Holocaust testimony
HVT-0199,Adrienne K. Holocaust testimony
HVT-0931,Adrienne K. Holocaust testimony
HVT-0077,Rosita K. Holocaust testimony
HVT-2926,Frima L. Holocaust testimony
HVT-1711,Lily M. Holocaust testimony
HVT-0400,Thomas B. Holocaust testimony
HVT-2047,Fred B. Holocaust testimony
HVT-1473,Rochelle S. Holocaust testimony
HVT-1329,Max H. and Johanna J. Holocaust testimony
HVT-1213,Liane R. Holocaust testimony
HVT-2875,Erwin B. Holocaust testimony
HVT-1029,Gerda H. Holocaust testimony
HVT-0042,Selma E. Holocaust testimony
HVT-0543,Marion L. Holocaust testimony
HVT-0567,Charlotte R. Holocaust testimony
HVT-1396,Betty L. Holocaust testimony
HVT-2511,Sarah W. Holocaust testimony
HVT-1399,Zena G. Holocaust testimony
HVT-0426,Beba L. Holocaust testimony
HVT-2751,Sonia W. Holocaust testimony
HVT-0631,Leopold Z. Holocaust Testimony
HVT-2617,Erika M. Holocaust testimony
